class,real_count,real_share,synth_predicted_count,synth_share,synth/real_ratio
Reconnaissance,10491,0.059832,0,0.0,0.0
Worms,130,0.000741,0,0.0,0.0
Backdoor,1746,0.009958,1,6e-06,0.000573
Analysis,2000,0.011406,4,2.3e-05,0.002
Shellcode,1133,0.006462,5,2.9e-05,0.004413
DoS,12264,0.069944,108,0.000616,0.008806
Exploits,33393,0.190446,2301,0.013123,0.068907
Generic,40000,0.228127,42572,0.242795,1.0643
Fuzzers,18184,0.103706,29613,0.168888,1.62852
Normal,56000,0.319378,100737,0.574521,1.798875
